state,yearOfLoss,floodEvent,event_type,state,yearOfLoss,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,totalPaid,precip_mm,wind_max_m_s,temp_mean_c
TX,2017,Hurricane Harvey,Hurricane,TX,2017,96257.6,80702.22,176959.82,115.4,53.5,26.819726027397266
FL,2004,Hurricane Jeanne,Hurricane,FL,2004,0.0,0.0,0.0,120.3,64.3,27.106557377049185
TX,2017,Hurricane Harvey,Hurricane,TX,2017,250000.0,100000.0,350000.0,115.4,53.5,26.819726027397266
TX,1987,Flooding,Flood,TX,1987,2475.5,0.0,2475.5,0.0,0.0,0.0
LA,2021,Hurricane Ida,Hurricane,LA,2021,0.0,0.0,0.0,176.4,38.0,24.852602739726045
FL,1992,Flooding,Flood,FL,1992,3778.96,0.0,3778.96,44.4,30.6,27.21147540983609
NY,2011,Hurricane Irene,Hurricane,NY,2011,0.0,0.0,0.0,99.2,38.2,13.412054794520554
NJ,1985,Hurricane Gloria,Hurricane,NJ,1985,742.62,892.56,1635.1799999999998,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,1996,Hurricane Josephine,Hurricane,FL,1996,19829.06,2875.0,22704.06,58.4,34.3,26.52267759562842
NY,2011,Late summer storms,Storm,NY,2011,644.42,0.0,644.42,99.2,38.2,13.412054794520554
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
TX,1992,Flooding,Flood,TX,1992,11355.5,31313.8,42669.3,0.0,0.0,0.0
FL,1988,Flooding,Flood,FL,1988,0.0,1374.0,1374.0,48.7,37.1,26.840437158469943
TX,2017,Hurricane Harvey,Hurricane,TX,2017,32018.63,40000.0,72018.63,115.4,53.5,26.819726027397266
CA,1995,Flooding,Flood,CA,1995,0.0,0.0,0.0,38.7,37.2,25.83369863013699
MN,1979,Not a named storm,Storm,MN,1979,1754.72,0.0,1754.72,34.1,44.2,9.818904109589038
LA,2016,Mid-summer severe storms,Storm,LA,2016,89052.99,30000.0,119052.99,233.5,35.3,25.598087431693997
TX,2001,Tropical Storm Allison,Storm,TX,2001,26864.83,4146.76,31011.590000000004,60.6,40.8,24.620273972602728
TX,2001,Tropical Storm Allison,Storm,TX,2001,4593.17,0.0,4593.17,60.6,40.8,24.620273972602728
TX,2008,Hurricane Ike,Hurricane,TX,2008,131800.0,18498.03,150298.03,41.7,42.5,26.64180327868851
LA,2021,Hurricane Ida,Hurricane,LA,2021,0.0,0.0,0.0,176.4,38.0,24.852602739726045
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,1486.76,0.0,1486.76,0.0,0.0,0.0
AL,2015,Early winter storms,Storm,AL,2015,25271.49,0.0,25271.49,51.5,31.8,23.783013698630153
AR,2025,Central U.S. April Flooding,Flood,AR,2025,30431.79,0.0,30431.79,,,
FL,2024,Hurricane Helene,Hurricane,FL,2024,92801.68,0.0,92801.68,45.2,63.6,28.001912568306004
TX,2001,Tropical Storm Allison,Storm,TX,2001,25846.01,936.38,26782.39,60.6,40.8,24.620273972602728
FL,2004,Hurricane Frances,Hurricane,FL,2004,0.0,0.0,0.0,120.3,64.3,27.106557377049185
TX,2017,Hurricane Harvey,Hurricane,TX,2017,3533.3,15194.65,18727.95,115.4,53.5,26.819726027397266
LA,1995,Flooding,Flood,LA,1995,0.0,0.0,0.0,70.1,33.8,24.724109589041113
SC,2024,Hurricane Helene,Hurricane,SC,2024,31442.37,0.0,31442.37,72.6,49.5,24.086338797814207
LA,1978,Flooding,Flood,LA,1978,3410.4,3133.0,6543.4,94.6,32.2,24.386575342465765
TX,2017,Hurricane Harvey,Hurricane,TX,2017,174042.0,46958.0,221000.0,115.4,53.5,26.819726027397266
FL,2005,Hurricane Wilma,Hurricane,FL,2005,69096.44,0.0,69096.44,47.4,54.1,26.69808219178083
NY,2012,Hurricane Sandy,Hurricane,NY,2012,42601.98,0.0,42601.98,48.8,39.7,14.591530054644808
PA,1979,Not a named storm,Storm,PA,1979,345.0,0.0,345.0,45.5,39.7,15.127123287671237
LA,2001,Tropical Storm Allison,Storm,LA,2001,502.5,0.0,502.5,86.0,34.9,24.30821917808221
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,10478.93,0.0,10478.93,0.0,0.0,0.0
LA,2020,Hurricane Laura,Hurricane,LA,2020,0.0,0.0,0.0,72.9,51.4,25.66612021857924
LA,2005,Hurricane Katrina,Hurricane,LA,2005,39918.57,9795.57,49714.14,63.7,47.6,25.748767123287685
NJ,1992,December Storm - Nor'easter,Storm,NJ,1992,2136.75,0.0,2136.75,0.0,0.0,0.0
NC,1996,Hurricane Bertha,Hurricane,NC,1996,2696.91,0.0,2696.91,97.7,45.8,19.459562841530044
MO,2017,Late spring severe storms,Storm,MO,2017,43151.54,175.0,43326.54,77.7,35.9,20.50904109589041
CT,2011,Hurricane Irene,Hurricane,CT,2011,9105.27,0.0,9105.27,90.7,44.0,16.041095890410965
NY,2011,Late summer storms,Storm,NY,2011,0.0,0.0,0.0,99.2,38.2,13.412054794520554
WA,1990,Flooding,Flood,WA,1990,15120.09,0.0,15120.09,127.4,21.0,11.218630136986292
LA,2002,Hurricane Lili,Hurricane,LA,2002,0.0,0.0,0.0,57.0,42.7,24.50986301369864
PR,1979,Hurricanes David & Frederic,Hurricane,PR,1979,0.0,0.0,0.0,120.6,42.8,24.350136986301372
MD,2003,Hurricane Isabel,Hurricane,MD,2003,16167.01,0.0,16167.01,0.0,0.0,0.0
FL,1992,Hurricane Andrew,Hurricane,FL,1992,0.0,0.0,0.0,44.4,30.6,27.21147540983609
